,part_no,description_mar,on_hand_mar,total_cost_mar,excess_mar,excess_cost_mar,description_jun,on_hand_jun,total_cost_jun,excess_jun,excess_cost_jun,on_hand_change,total_cost_change,excess_change,excess_cost_change
0,H146017A-760,,,350.0,,,,,17864.3,,,0.0,17514.3,0.0,0.0
1,CT4010D/19,THERMOCOUPLE PROBE ASSEMBLY,1.0,526.24,1.0,563.65,,,546.21,,,-1.0,19.970000000000027,-1.0,-563.65
2,TA54090E/04,,,5610.0,,,,,2608.0,,,0.0,-3002.0,0.0,0.0
3,REPAIRS,,,40.0,,,,,125.0,,,0.0,85.0,0.0,0.0
5,SPIRIT OFFSHORE DAILY RATE,,,2995.14,,,,,0.0,,,0.0,-2995.14,0.0,0.0
6,EEG-INSP/QUOTE,,,40.58,,,,,0.0,,,0.0,-40.58,0.0,0.0
7,EEG-KIT,,,40339.87,,,,,0.0,,,0.0,-40339.87,0.0,0.0
10,KIT-RT33010,,,2763.21,,,,,,,,0.0,-2763.21,0.0,0.0
11,KIT-RT12000B,,,2989.75,,,,,4299.46,,,0.0,1309.71,0.0,0.0
13,TB14081C,INLET GUIDE VANE,76.0,2554.05,0.0,0.0,,,2554.05,,,-76.0,0.0,0.0,0.0
14,TB5400-GG,,,41949.77,,,,,0.0,,,0.0,-41949.77,0.0,0.0
16,RT13000E/02,,,2206.78,,,,,0.0,,,0.0,-2206.78,0.0,0.0
18,TB5000-GG,,,28746.84,,,,,0.0,,,0.0,-28746.84,0.0,0.0
19,246003-790,,,31.67,,,,,59316.93,,,0.0,59285.26,0.0,0.0
20,RT645-GG,,,29644.94,,,,,0.0,,,0.0,-29644.94,0.0,0.0
22,EEG-SERVICE,,,987.0,,,,,3600.0,,,0.0,2613.0,0.0,0.0
23,EEG-APM,,,38989.0,,,,,16240.42,,,0.0,-22748.58,0.0,0.0
30,H246051A,,,23.12,,,,,103.87,,,0.0,80.75,0.0,0.0
35,RT13001C/01,,,4091.3,,,,,0.0,,,0.0,-4091.3,0.0,0.0
36,KIT-RM12000,"KIT, INLET BEARING SARTORIOUS",6.0,5832.71,3.0,11530.118601,,,5832.71,,,-6.0,0.0,-3.0,-11530.118601
49,TB12016B,THRUST BEARING ASSEMBLY,10.0,3429.75,1.0,1727.851,,,3429.75,,,-10.0,0.0,-1.0,-1727.851
81,KIT-RT354016G,INTERDUCT & CTR COUPLING ASSY,7.0,0.0,1.0,17334.475357,,,0.0,,,-7.0,0.0,-1.0,-17334.475357
89,EEG-FREIGHT,,,500.0,,,,,551.42,,,0.0,51.41999999999996,0.0,0.0
90,KIT-RM14000,,,637.06,,,,,0.0,,,0.0,-637.06,0.0,0.0
91,246005-790,,,67174.36,,,,,66361.55,,,0.0,-812.8099999999977,0.0,0.0
92,EEG-REPAIRS,,,86.0,,,,,2115.29,,,0.0,2029.29,0.0,0.0
93,KIT-RM34001,,,3591.49,,,,,2978.32,,,0.0,-613.1699999999996,0.0,0.0
94,REPAIR,,,5735.4,,,,,0.0,,,0.0,-5735.4,0.0,0.0
100,KIT-TB21000,,,6260.74,,,,,,,,0.0,-6260.74,0.0,0.0
113,H246091A,,,7296.55,,,,,713.37,,,0.0,-6583.18,0.0,0.0
114,H246048A,,,11.37,,,,,103.87,,,0.0,92.5,0.0,0.0
117,RT34000D/06,,,5952.66,,,,,0.0,,,0.0,-5952.66,0.0,0.0
123,TB11081D/5,STAGE 3 COMP ROTOR BLADE,148.0,10712.18,0.0,0.0,,,10712.18,,,-148.0,0.0,0.0,0.0
127,RT100,,,2750.0,,,,,0.0,,,0.0,-2750.0,0.0,0.0
135,H146003A,STG 1 CT BLADE (Peened),502.0,0.0,15.0,8387.053425,STG 1 CT BLADE (Peened),502.0,0.0,14.0,7827.91653,0.0,0.0,-1.0,-559.1368949999996
146,H146034B,"BLADE, COMP ROTOR RT 9",13.0,0.0,0.0,0.0,"BLADE, COMP ROTOR RT 9",10.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0
150,H146017A-761,,,350.0,,,,,2676.55,,,0.0,2326.55,0.0,0.0
151,TB35611C,,,27342.63,,,,,0.0,,,0.0,-27342.63,0.0,0.0
152,KIT-RT34039C,,,1533.19,,,,,3413.72,,,0.0,1880.5299999999997,0.0,0.0
153,KIT-RM13000,,,3203.42,,,,,1141.7,,,0.0,-2061.7200000000003,0.0,0.0
167,H246045A,,,11.37,,,,,103.87,,,0.0,92.5,0.0,0.0
174,E247091A-1A,THERMOCOUPLE ASSEMBLY COMBUSTION AIR INTAKE,17.0,2172.5,3.0,534.291177,,,2172.5,,,-17.0,0.0,-3.0,-534.291177
179,RM22130B/02,,,417.9,,,,,4226.0,,,0.0,3808.1,0.0,0.0
181,KIT-TB14120,,,2494.72,,,,,1400.25,,,0.0,-1094.4699999999998,0.0,0.0
205,KIT1-RM21100,,,0.0,,,,,17406.87,,,0.0,17406.87,0.0,0.0
208,RT22200S/01,,,0.0,,,,,8684.0,,,0.0,8684.0,0.0,0.0
210,H246059A,,,1179.12,,,,,362.37,,,0.0,-816.7499999999999,0.0,0.0
217,H246087A,,,6727.19,,,,,,,,0.0,-6727.19,0.0,0.0
219,H246049A,,,11.37,,,,,103.87,,,0.0,92.5,0.0,0.0
241,KIT-TB14000,,,0.0,,,,,702.01,,,0.0,702.01,0.0,0.0
243,TB21014G,,,0.04,,,,,7216.04,,,0.0,7216.0,0.0,0.0
251,RT33010/06,STAGE 1 CT STATOR ASSEMBLY,1.0,40744.3,1.0,0.0,STAGE 1 CT STATOR ASSEMBLY,1.0,1652.3,1.0,0.0,0.0,-39092.0,0.0,0.0
257,H246086A,,,489.25,,,,,49.17,,,0.0,-440.08,0.0,0.0
258,H246085A,,,6727.19,,,,,599.97,,,0.0,-6127.219999999999,0.0,0.0
261,KIT-RM21100,KIT - DLE BURNER INSTALLATION,7.0,3511.4,3.0,10663.3194,KIT - DLE BURNER INSTALLATION,6.0,3511.4,2.0,7298.199534,-1.0,0.0,-1.0,-3365.119866
269,RM21035F,FLAME TUBES,16.0,0.0,0.0,0.0,,,0.0,,,-16.0,0.0,0.0,0.0
276,KIT-RT21200,,,10470.29,,,,,11481.84,,,0.0,1011.5499999999993,0.0,0.0
277,RT675-GG,,,37247.84,,,,,0.0,,,0.0,-37247.84,0.0,0.0
292,H146061A,"BLADE,COMP ROTOR RT UPRATE 3 L",19.0,197.6,14.0,2372.74947,"BLADE,COMP ROTOR RT UPRATE 3 L",15.0,197.6,6.0,1071.456,-4.0,0.0,-8.0,-1301.2934700000003
305,H146016A-761,,,350.0,,,,,2420.3,,,0.0,2070.3,0.0,0.0
336,H146016A-760,,,350.0,,,,,15143.36,,,0.0,14793.36,0.0,0.0
346,RT12000B/03,,,3439.28,,,,,0.0,,,0.0,-3439.28,0.0,0.0
373,TB3109,,,0.0,,,,,94160.76,,,0.0,94160.76,0.0,0.0
390,Fleet,,,2132571.319999999,,,,,2511027.059999999,,,0.0,378455.7400000002,0.0,0.0
391,Internal,,,5782705.880000001,,,,,7301176.069999999,,,0.0,1518470.1899999985,0.0,0.0
392,Customer,,,3747646.849999998,,,,,5620644.809999998,,,0.0,1872997.9599999995,0.0,0.0
393,Total WIP,,,11662924.05,,,,,15432847.94,,,0.0,3769923.8899999987,0.0,0.0
394,Total from Aged WIP report,,,11662924.05,,,,,15432847.94,,,0.0,3769923.8899999987,0.0,0.0
397,WIP Burden,,,86756.49,,,,,367532.65,,,0.0,280776.16000000003,0.0,0.0
398,Total per GL,,,11662924.05,,,,,15432847.94,,,0.0,3769923.8899999987,0.0,0.0
440,D247008A,3 Inch Dowty Seal,14.0,,4.0,20.885716,,,,,,-14.0,0.0,-4.0,-20.885716
458,TB14087,"BOLT, SPECIAL TB ONLY",19.0,,19.0,0.19,,,,,,-19.0,0.0,-19.0,-0.19
472,KIT1-TB03600,INLET VIBRATION PROBES KIT,5.0,,1.0,4495.037,,,,,,-5.0,0.0,-1.0,-4495.037
490,KIT5-TB10000,Top Half Lift Kit,6.0,,6.0,656.4,Top Half Lift Kit,5.0,,4.0,417.28,-1.0,0.0,-2.0,-239.12
542,021202,"CLIP,HOSE - 5/8 X 7/8 INS",38.0,,3.0,4.53,"CLIP,HOSE - 5/8 X 7/8 INS",37.0,,1.0,1.51,-1.0,0.0,-2.0,-3.0200000000000005
552,022911,BOLT - 3/8 UNF X 1.3/4,134.0,,27.0,26.73,BOLT - 3/8 UNF X 1.3/4,132.0,,23.0,22.77,-2.0,0.0,-4.0,-3.960000000000001
570,505019,TAPPED DOWEL - 1/2 O/D X 1.1/2,84.0,,2.0,22.04762,,,,,,-84.0,0.0,-2.0,-22.04762
581,014025,C/SUNK SCREW 2 BA X 7/16 IN,102.0,,24.0,29.162352,C/SUNK SCREW 2 BA X 7/16 IN,98.0,,16.0,19.320816,-4.0,0.0,-8.0,-9.841535999999998
595,CT190/29,TAPPED DOWEL - 5/16 NOM X 1 IN,42.0,,2.0,54.021904,,,,,,-42.0,0.0,-2.0,-54.021904
642,022541,STUD - 1/2 UNF X 1.3/8,52.0,,40.0,600.52308,STUD - 1/2 UNF X 1.3/8,40.0,,16.0,34.88,-12.0,0.0,-24.0,-565.64308
643,022554,STUD - 1/2 UNF X 3 IN,4.0,,4.0,0.04,STUD - 1/2 UNF X 3 IN,2.0,,2.0,0.02,-2.0,0.0,-2.0,-0.02
644,CT130A/6,TABWASHER 7/8 INS STAINLESS ST,141.0,,98.0,450.8,TABWASHER 7/8 INS STAINLESS ST,139.0,,94.0,432.4,-2.0,0.0,-4.0,-18.400000000000034
653,CT336D/21,O RING CORD 0.149/0.129 IN DIA,210.0,,9.0,99.390429,O RING CORD 0.149/0.129 IN DIA,208.0,,5.0,55.041345,-2.0,0.0,-4.0,-44.349084
655,042387,STUD - 5/16 UNF X 1.1/2,39.0,,4.0,71.317948,,,,,,-39.0,0.0,-4.0,-71.317948
694,041754,SCREW 1/2 IN UNF X 1 1/4 IN,79.0,,5.0,17.905695,SCREW 1/2 IN UNF X 1 1/4 IN,77.0,,1.0,3.673896,-2.0,0.0,-4.0,-14.231799000000002
702,CT775C/3,PLUG - 1.3/4 BSP (LONG),26.0,,8.0,1111.39692,PLUG - 1.3/4 BSP (LONG),26.0,,4.0,555.69846,0.0,0.0,-4.0,-555.69846
719,F145048A,STUD 3/8INS UNF X 1INS,46.0,,6.0,0.06,,,,,,-46.0,0.0,-6.0,-0.06
754,F145043A,"WASHER, SPRING DBL COIL 3/8INS",678.0,,483.0,48.3,"WASHER, SPRING DBL COIL 3/8INS",670.0,,467.0,46.7,-8.0,0.0,-16.0,-1.5999999999999943
759,C145104A,"COUPLING, STUD 3/8 X 3/8IN BSP",5.0,,3.0,0.03,,,,,,-5.0,0.0,-3.0,-0.03
774,F145066A,"NUT, 5/16 INS UNF",104.0,,1.0,0.01,,,,,,-104.0,0.0,-1.0,-0.01
775,F145082A,"NUT, NYLOC 3/8 INS UNF",160.0,,99.0,9.9,"NUT, NYLOC 3/8 INS UNF",157.0,,93.0,9.3,-3.0,0.0,-6.0,-0.5999999999999996
780,F245204A,"DOWEL, TAPERED GUIDE 1/2 X 2",149.0,,66.0,575.728164,"DOWEL, TAPERED GUIDE 1/2 X 2",147.0,,62.0,537.438754,-2.0,0.0,-4.0,-38.289409999999975
781,F245173A,STUD - 1/2 UNF X 1.1/2,261.0,,2.0,5.135632,,,,,,-261.0,0.0,-2.0,-5.135632
784,F245168A,STUD - 1/4 UNF X 3/4,111.0,,54.0,134.635122,STUD - 1/4 UNF X 3/4,107.0,,46.0,115.107456,-4.0,0.0,-8.0,-19.527665999999996
808,RM31015B,RM TENSION STUD LOCKNUT,13.0,,6.0,11232.996924,RM TENSION STUD LOCKNUT,12.0,,2.0,3563.431666,-1.0,0.0,-4.0,-7669.565257999999
811,RM33011R,RM DLE TRANSITION DUCT,24.0,,0.0,0.0,,,,,,-24.0,0.0,0.0,0.0
817,RM33369A,STRIP SEALING INNER  LP NOZZLE,127.0,,36.0,444.24,,,,,,-127.0,0.0,-36.0,-444.24
830,TB14005B/01,INLET CASING SHROUD ASSEMBLY,58.0,,33.0,34311.528108,INLET CASING SHROUD ASSEMBLY,58.0,,32.0,33271.784832,0.0,0.0,-1.0,-1039.743276000001
845,TB14074D/78D,DUST COVER AND LID ASSEMBLY,7.0,,3.0,2501.271429,DUST COVER AND LID ASSEMBLY,7.0,,2.0,1667.514286,0.0,0.0,-1.0,-833.7571429999998
857,TB07127,SPACER,21.0,,5.0,129.259525,SPACER,20.0,,3.0,77.991,-1.0,0.0,-2.0,-51.268525
861,509956,THRUST WASHER,16.0,,16.0,48.96,,,,,,-16.0,0.0,-16.0,-48.96
872,505573,STUD - 5/8 UNF X 2.3/8,49.0,,34.0,123.64899,STUD - 5/8 UNF X 2.3/8,48.0,,32.0,118.8,-1.0,0.0,-2.0,-4.848990000000001
882,CT3074A/1,BEARING BUSH - 3 LOBE,13.0,,7.0,4079.826156,BEARING BUSH - 3 LOBE,12.0,,5.0,2870.008335,-1.0,0.0,-2.0,-1209.817821
887,CT411/58,SPECIAL WASHER - 0.500 I/D,21.0,,1.0,58.065238,,,,,,-21.0,0.0,-1.0,-58.065238
896,TB07041,RING RETAINING,6.0,,6.0,573.199998,RING RETAINING,5.0,,4.0,429.72,-1.0,0.0,-2.0,-143.47999800000002
