,part_no,sales_order_mar,line_mar,date_promised_mar,master_order_mar,product_line,created_by_mar,value_mar,customer_mar,customer_po_no_mar,work_order_mar,description_mar,comment_mar,wip_text_mar,age_mar,owner_mar,order_type_mar,total_cost_mar,lab_hrs_mar,labour_mar,prod_receipt_mar,ap_invoices_mar,burden_mar,material_mar,sub_con_late_costs_mar,1st_date_mar,<_30_days_mar,31_60_days_mar,61_90_days_mar,91_120_days_mar,121_150_days_mar,151_180_days_mar,181_365_days_mar,over_1_year_mar,aged_wip_report,nan,warehouse_mar,quantity,avg._cost_mar,2024_12_18_00:00:00_mar,2025_01_22_00:00:00_mar,2025_02_21_00:00:00_mar,2024_03_22_00:00:00_mar,ytd_balance_mar,mrb_intranet_report_mar,"variance_
gl_vs._intranet_mar",last_6_months_activity_mar,unnamed:_21_mar,comment_5/24_mar,additional_comments,warehouse_jun,part_number,description_jun,qty,total_cost_jun,avg._cost_jun,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,sales_order_jun,line_jun,date_promised_jun,master_order_jun,pl___product_line,created_by_jun,value_jun,customer_jun,customer_po_no_jun,work_order_jun,part_description,comment_jun,wip_text_jun,age_jun,owner_jun,order_type_jun,total_cost_agedwip,lab_hrs_jun,labour_jun,prod_receipt_jun,ap_invoices_jun,burden_jun,material_jun,sub_con_late_costs_jun,1st_date_jun,<_30_days_jun,31_60_days_jun,61_90_days_jun,91_120_days_jun,121_150_days_jun,151_180_days_jun,181_365_days_jun,over_1_year_jun,part_number_mrb,account_name,part_number.1,2024_12_18_00:00:00_jun,2025_01_22_00:00:00_jun,2025_02_21_00:00:00_jun,2024_03_22_00:00:00_jun,2024_04_21_00:00:00,2024_05_21_00:00:00,2024_06_20_00:00:00,2024_07_20_00:00:00,2024_08_19_00:00:00,2024_09_18_00:00:00,2024_10_18_00:00:00,2024_11_17_00:00:00,2024_12_17_00:00:00,ytd_balance_jun,mrb_intranet_report_jun,"variance_
gl_vs._intranet_jun",last_6_months_activity_jun,unnamed:_20,unnamed:_21_jun,comment_5/24_jun,unnamed:_23,total_cost_change,qty_mar,qty_jun,quantity_change
0,1654366,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,"CONNECTOR, CIRCULAR, 26 PIN",0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,489.9,0.0,0.0,0.0,489.9,0.0,0.03999999999689408,0.0,0.03999999999689408,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1654366,"CONNECTOR, CIRCULAR, 26 PIN",1654366,489.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.9,0.0,0.039999999996894076,0.0,0.0,0.039999999996894076,0,0,0.0,,,0.0
1,(180765-100),0.0,0.0,0,829414.0,0,H TRAN,0.0,0,0,829414.0,"KIT, INSTALLATION, PT",KIT, ,347.0,H TRAN,0,620.43,0.0,0.0,-620.43,0.0,0.0,1240.86,0.0,2024-04-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,620.43,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,(180765-100),"KIT, INSTALLATION, PT",3.0,599.61,199.87,0,0.0,0,0,0,0,0.0,0,-,0.0,0,829414.0,0,H TRAN,0.0,0,0,829414.0,"KIT, INSTALLATION, PT",KIT, ,441.0,H TRAN,0,620.43,0.0,0.0,-620.43,0.0,0.0,1240.86,0.0,2024-04-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.43,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-20.819999999999936,,3.0,3.0
2,(220602-100),0.0,0.0,0,830356.0,TAURUS 60,P GIANNINI,0.0,0,0,830356.0,"ASSEMBLY, AIR TUBE, SEGMENT, N",DRY FIT PARTS THEN RETURN TO I,DRY FIT PARTS THEN RETURN TO INVENTORY,4.0,P GIANNINI,0,38018.35,4.0,291.45,0.0,0.0,274.4,37452.5,0.0,2025-03-24 00:00:00,38018.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(220602-100),"ASSEMBLY, AIR TUBE, SEGMENT, N",(220602-100),0.0,0.0,0.0,0.0,38018.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38018.32,0.0,0.0,0.0,0.0,0.0,0,0,-38018.35,,,0.0
3,(230111-1),0.0,0.0,0,830355.0,TAURUS 60,P GIANNINI,0.0,0,0,830355.0,"CAP, ID, SEGMENT, NOZZLE, 1ST",DRY FIT PARTS THEN RETURN TO I,DRY FIT PARTS THEN RETURN TO INVENTORY,4.0,P GIANNINI,0,3772.5,6.0,424.9,0.0,0.0,411.6,2936.0,0.0,2025-03-24 00:00:00,3772.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,(230111-1),"CAP, ID, SEGMENT, NOZZLE, 1ST",596.0,11616.25,19.49,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7843.75,,596.0,596.0
4,000506-007,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,FULL ELEC MODULE ASSY PANEL MT,0,0,0.0,0,0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,000506-007,FULL ELEC MODULE ASSY PANEL MT,1.0,1179.0,1179.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0
5,002C10,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,"General purpose coaxial cable, white FEP jacket",0,0,0.0,0,0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,002C10,"General purpose coaxial cable, white FEP jacket",3.0,144.0,48.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,3.0,3.0,0.0
6,003C10,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,"LOW NOISE COAXIAL CABLE, BLUE TFE JACKET",0,0,0.0,0,0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,003C10,"LOW NOISE COAXIAL CABLE, BLUE TFE JACKET",4.0,224.0,56.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,4.0,4.0,0.0
7,0391-00-317-T,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,GASKET,0,0,0.0,0,0,91.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0391-00-317-T,GASKET,15.0,91.2,6.08,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,15.0,15.0,0.0
8,058360-002,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,"FASTENER, SPRING, FILTER",0,0,0.0,0,0,133.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,15.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,058360-002,"FASTENER, SPRING, FILTER",15.0,133.5,8.9,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,15.0,15.0,0.0
9,1-895-2011,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,"SWITCH, VIBRATION",0,0,0.0,0,0,1295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1-895-2011,"SWITCH, VIBRATION",1.0,1295.0,1295.0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,1.0,0.0
